,Waveform,Spectrogram,SNR
Bufo marinus,,,19.35
Litoria caerulea,,,15.78
Litoria fallax,,,43.7
Litoria gracillenta,,,25.8
Litoria latopalmata,,,35.85
Litoria rubella,,,36.2
